2020-01-09 16:53:29,017 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webproj1/src/main/java
2020-01-09 16:53:29,018 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webproj1/src/main/resources
2020-01-09 16:53:29,018 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webproj1/src/test/java
2020-01-09 16:53:29,019 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webproj1/src/test/resources
2020-01-09 16:53:29,254 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2020-01-09 16:53:29,671 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:53:29,675 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:53:29,678 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:53:29,679 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:53:29,680 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of webproj1
2020-01-09 16:53:29,680 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for webproj1
2020-01-09 16:53:29,686 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:54:25,317 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:54:25,318 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:54:25,320 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:54:25,321 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:54:44,799 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-01-09 16:54:45,336 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.winpointlc:webproj1:0.0.1-SNAPSHOT @ F:\winpoint\webproj1\pom.xml.
2020-01-09 16:54:45,806 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webproj1/src/main/java
2020-01-09 16:54:45,806 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webproj1/src/main/resources
2020-01-09 16:54:45,807 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webproj1/src/test/java
2020-01-09 16:54:45,807 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webproj1/src/test/resources
2020-01-09 16:54:46,176 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for webproj1
2020-01-09 16:54:46,188 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2020-01-09 16:54:46,472 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:54:46,474 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:54:46,476 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:54:46,477 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:54:46,477 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of webproj1
2020-01-09 16:54:46,477 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for webproj1
2020-01-09 16:54:46,486 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:55:13,944 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2020-01-09 16:55:25,287 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\winpoint\webproj1
2020-01-09 16:55:25,290 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2020-01-09 17:06:45,341 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 17:06:45,352 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 17:06:45,355 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 17:06:45,356 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 17:06:52,486 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 17:06:52,489 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 17:06:52,498 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 17:06:52,499 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 17:06:59,106 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2020-01-09 17:07:06,848 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\winpoint\webproj1
2020-01-09 17:07:06,852 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2020-01-09 17:09:40,616 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 17:09:40,616 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 17:09:40,616 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 17:09:40,616 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 17:09:47,337 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2020-01-09 17:09:56,646 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\winpoint\webproj1
2020-01-09 17:09:56,646 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
